日期,时间,纬度,经度,航向,节,时速,高度,爬升率,数据源
20190802,星期五 23:46:3011:46下午,41.315541.32,-87.1292-87.13,← 315°,379,702,"3,6423642",-628 , FlightAware ADS-B  (KIKK) 
20190802,星期五 23:46:5911:46下午,41.351041.35,-87.1753-87.18,&nwarr 316°,371,687,"3,3383338",-467 , FlightAware ADS-B  (KIKK) 
20190802,星期五 23:47:1611:47下午,41.371341.37,-87.2018-87.20,&nwarr 316°,357,661,"3,2843284",-72 , FlightAware ADS-B  (KORD) 
20190802,星期五 23:47:5011:47下午,41.414241.41,-87.2537-87.25,&nwarr 319°,354,655,"3,2773277",-59 , FlightAware ADS-B  (KGYY) 
20190802,星期五 23:48:1011:48下午,41.438441.44,-87.2820-87.28,&nwarr 320°,351,650,"3,2313231",-335 , FlightAware ADS-B  (KVPZ) 
20190802,星期五 23:48:3111:48下午,41.465441.47,-87.3137-87.31,&nwarr 318°,348,644,"3,0483048",-317 , FlightAware ADS-B  (KGYY) 
20190802,星期五 23:48:5911:48下午,41.497741.50,-87.3520-87.35,&nwarr 320°,353,653,"2,9722972",-97 , FlightAware ADS-B  (KORD) 
20190802,星期五 23:49:1811:49下午,41.523341.52,-87.3769-87.38,&nwarr 326°,353,653,"2,9722972", , FlightAware ADS-B  (KGYY) 
20190802,星期五 23:49:4811:49下午,41.563441.56,-87.4125-87.41,&nwarr 327°,351,650,"2,9722972", , FlightAware ADS-B  (KPWK) 
20190802,星期五 23:50:0811:50下午,41.590241.59,-87.4367-87.44,&nwarr 327°,351,650,"2,9722972",10 , FlightAware ADS-B  (KPWK) 
20190802,星期五 23:50:3211:50下午,41.622641.62,-87.4659-87.47,&nwarr 326°,350,649,"2,9792979",10 , FlightAware ADS-B  (KIGQ) 
20190802,星期五 23:50:5411:50下午,41.651841.65,-87.4924-87.49,&nwarr 324°,351,650,"2,9792979",-12 , FlightAware ADS-B  (KMKE) 
20190802,星期五 23:51:1211:51下午,41.674241.67,-87.5170-87.52,&nwarr 320°,351,650,"2,9722972",-11 , FlightAware ADS-B  (KARR) 
20190802,星期五 23:51:3611:51下午,41.705141.71,-87.5522-87.55,&nwarr 320°,351,650,"2,9722972", , FlightAware ADS-B  (KMDW) 
20190802,星期五 23:52:0611:52下午,41.742641.74,-87.5949-87.59,&nwarr 320°,350,649,"2,9722972", , FlightAware ADS-B  (KEKM) 
20190802,星期五 23:52:3611:52下午,41.778841.78,-87.6354-87.64,&nwarr 320°,350,649,"2,9722972",8 , FlightAware ADS-B  (KORD) 
20190802,星期五 23:53:0611:53下午,41.813241.81,-87.6738-87.67,&nwarr 320°,318,589,"2,9792979",10 , FlightAware ADS-B  (KORD) 
20190802,星期五 23:53:2311:53下午,41.832241.83,-87.6972-87.70,← 311°,302,560,"2,9792979",-69 , FlightAware ADS-B  (KENW) 
20190802,星期五 23:53:3911:53下午,41.845141.85,-87.7223-87.72,← 303°,294,544,"2,9412941",-385 , FlightAware ADS-B  (KPWK) 
20190802,星期五 23:54:0111:54下午,41.861941.86,-87.7567-87.76,← 303°,293,542,"2,7362736",-479 , FlightAware ADS-B  (KMDW) 
20190802,星期五 23:54:2011:54下午,41.875341.88,-87.7838-87.78,← 303°,291,539,"2,6142614",-432 , FlightAware ADS-B  (KDPA) 
20190802,星期五 23:54:3711:54下午,41.883941.88,-87.8114-87.81,← 278°,292,541,"2,4772477",-410 , FlightAware ADS-B  (KORD) 
20190802,星期五 23:54:5911:54下午,41.884541.88,-87.8511-87.85,← 270°,287,531,"2,3472347",-370 , FlightAware ADS-B  (KPWK) 
20190802,星期五 23:55:1911:55下午,41.884341.88,-87.8858-87.89,← 270°,282,523,"2,2172217",-329 , FlightAware ADS-B  (KARR) 
20190802,星期五 23:55:4911:55下午,41.884341.88,-87.9364-87.94,← 270°,277,513,"2,0732073",-198 , FlightAware ADS-B  (KORD) 
20190802,星期五 23:56:1911:56下午,41.884441.88,-87.9907-87.99,← 270°,280,518,"2,0192019",-296 , FlightAware ADS-B  (KPWK) 
20190802,星期五 23:56:4311:56下午,41.883941.88,-88.0311-88.03,← 268°,283,525,"1,8061806",-505 , FlightAware ADS-B  (KJOT) 
20190802,星期五 23:57:0711:57下午,41.882041.88,-88.0748-88.07,← 267°,284,526,"1,6151615",-381 , FlightAware ADS-B  (KVPZ) 
20190802,星期五 23:57:3111:57下午,41.880341.88,-88.1138-88.11,← 267°,274,507,"1,5011501",-205 , FlightAware ADS-B  (KORD) 
20190802,星期五 23:57:5611:57下午,41.878641.88,-88.1590-88.16,← 268°,277,513,"1,4481448",-78 , FlightAware ADS-B  (KRFD) 
20190802,星期五 23:58:1211:58下午,41.877841.88,-88.1862-88.19,← 268°,276,512,"1,4481448", , FlightAware ADS-B  (KLOT) 
20190802,星期五 23:58:2911:58下午,41.877041.88,-88.2153-88.22,← 268°,275,509,"1,4481448", , FlightAware ADS-B  (KIGQ) 
20190802,星期五 23:58:4511:58下午,41.877241.88,-88.2419-88.24,← 279°,265,491,"1,4481448",14 , FlightAware ADS-B  (KLOT) 
20190802,星期五 23:59:0111:59下午,41.885141.89,-88.2644-88.26,← 311°,245,454,"1,4551455",14 , FlightAware ADS-B  (KORD) 
20190802,星期五 23:59:1711:59下午,41.899841.90,-88.2774-88.28,↑ 341°,231,428,"1,4551455", , FlightAware ADS-B  (KMSN) 
20190802,星期五 23:59:3311:59下午,41.916341.92,-88.2775-88.28,↑ 12°,229,425,"1,4551455",-14 , FlightAware ADS-B  (KVPZ) 
20190802,星期五 23:59:4911:59下午,41.929741.93,-88.2661-88.27,&nearr 50°,228,422,"1,4481448",-14 , FlightAware ADS-B  (KORD) 
20190802,星期六 00:00:0512:00上午,41.939741.94,-88.2467-88.25,&nearr 59°,226,418,"1,4481448",-172 , FlightAware ADS-B  (KORD) 
20190802,星期六 00:00:2112:00上午,41.945641.95,-88.2263-88.23,→ 80°,228,422,"1,3561356",-343 , FlightAware ADS-B  (KPWK) 
20190802,星期六 00:00:3712:00上午,41.947341.95,-88.2045-88.20,→ 86°,228,422,"1,2651265",-314 , FlightAware ADS-B  (KLOT) 
20190802,星期六 00:00:5312:00上午,41.948541.95,-88.1814-88.18,→ 87°,225,417,"1,1891189",-263 , FlightAware ADS-B  (KMDW) 
20190802,星期六 00:01:1712:01上午,41.949841.95,-88.1481-88.15,→ 87°,218,404,"1,0901090",-296 , FlightAware ADS-B  (KDPA) 
20190802,星期六 00:01:4712:01上午,41.951241.95,-88.1081-88.11,→ 87°,207,383,922922,-343 , FlightAware ADS-B  (KDPA) 
20190802,星期六 00:02:1712:02上午,41.952541.95,-88.0706-88.07,→ 87°,199,369,747747,-305 , FlightAware ADS-B  (KJOT) 
20190802,星期六 00:02:4712:02上午,41.953741.95,-88.0367-88.04,→ 87°,177,328,617617,-282 , FlightAware ADS-B  (KPWK) 
20190802,星期六 00:03:1712:03上午,41.954941.95,-88.0043-88.00,→ 87°,152,282,465465,-258 , FlightAware ADS-B  (KORD) 
20190802,星期六 00:03:3312:03上午,41.955641.96,-87.9908-87.99,→ 85°,148,274,419419,-214 , FlightAware ADS-B  (KDKB) 
20190802,星期六 00:03:4912:03上午,41.956641.96,-87.9768-87.98,→ 85°,144,267,351351,-229 , FlightAware ADS-B  (KDPA) 
20190802,星期六 00:04:0512:04上午,41.957241.96,-87.9627-87.96,→ 90°,145,269,297297,-229 , FlightAware ADS-B  (KDPA) 
20190802,星期六 00:04:2112:04上午,41.957241.96,-87.9472-87.95,→ 90°,148,274,229229,-236 , FlightAware ADS-B  (KORD) 
20190802,星期六 00:04:3812:04上午,41.957241.96,-87.9327-87.93,→ 90°,144,267,168168,-188 , FlightAware ADS-B  (KORD) 
20190802,星期六 00:04:5512:04上午,41.957341.96,-87.9167-87.92,→ 90°,131,243,122122,-161 , FlightAware ADS-B  (KORD) 
20190803,星期六 20:39:4108:39下午,26.065826.07,-80.1334-80.13,→ 90°,174,322,6969, , FlightAware ADS-B  (KHWO) 
20190803,星期六 20:39:5708:39下午,26.065926.07,-80.1202-80.12,→ 86°,168,311,290290,800 , FlightAware ADS-B  (KFLL) 
20190803,星期六 20:40:1308:40下午,26.069726.07,-80.1064-80.11,→ 69°,181,335,495495,629 , FlightAware ADS-B  (KFLL) 
20190803,星期六 20:40:2908:40下午,26.074326.07,-80.0924-80.09,→ 70°,195,360,625625,414 , FlightAware ADS-B  (KTMB) 
20190803,星期六 20:40:4508:40下午,26.079826.08,-80.0755-80.08,→ 70°,217,402,716716,300 , FlightAware ADS-B  (KHWO) 
20190803,星期六 20:41:0108:41下午,26.088226.09,-80.0595-80.06,&nearr 49°,244,452,785785,282 , FlightAware ADS-B  (KFXE) 
20190803,星期六 20:41:1908:41下午,26.106626.11,-80.0476-80.05,↑ 17°,278,515,876876,588 , FlightAware ADS-B  (KFXE) 
20190803,星期六 20:41:3608:41下午,26.130026.13,-80.0463-80.05,↑ 356°,286,529,"1,1281128",840 , FlightAware ADS-B  (FPO / MYGF) 
20190803,星期六 20:41:5608:41下午,26.157126.16,-80.0486-80.05,↑ 355°,291,539,"1,3941394",622 , FlightAware ADS-B  (KOPF) 
20190803,星期六 20:42:1208:42下午,26.177326.18,-80.0537-80.05,↑ 339°,291,539,"1,5011501",229 , FlightAware ADS-B  (KHWO) 
20190803,星期六 20:42:3008:42下午,26.196326.20,-80.0717-80.07,← 302°,281,520,"1,5241524",22 , FlightAware ADS-B  (KBCT) 
20190803,星期六 20:42:5308:42下午,26.207326.21,-80.1005-80.10,← 291°,277,513,"1,5161516",130 , FlightAware ADS-B  (KMIA) 
20190803,星期六 20:43:2308:43下午,26.220926.22,-80.1399-80.14,← 292°,286,529,"1,6381638",615 , FlightAware ADS-B  (KFXE) 
20190803,星期六 20:43:4808:43下午,26.234226.23,-80.1742-80.17,← 294°,286,529,"2,0802080",987 , FlightAware ADS-B  (KOPF) 
20190803,星期六 20:44:0708:44下午,26.243126.24,-80.1999-80.20,← 284°,287,531,"2,3622362",925 , FlightAware ADS-B  (KHWO) 
20190803,星期六 20:44:3008:44下午,26.246226.25,-80.2346-80.23,← 275°,286,529,"2,7282728",773 , FlightAware ADS-B  (KHWO) 
20190803,星期六 20:45:1508:45下午,26.255226.26,-80.3007-80.30,← 280°,305,565,"3,2393239",530 , FlightAware ADS-B  (KPMP) 
20190803,星期六 20:45:4508:45下午,26.263526.26,-80.3524-80.35,← 280°,343,636,"3,3913391",267 , FlightAware ADS-B  (KHWO) 
20190803,星期六 20:46:1508:46下午,26.271126.27,-80.4041-80.40,← 279°,374,692,"3,5053505",267 , FlightAware ADS-B  (KPGD) 
20190803,星期六 20:46:4508:46下午,26.279326.28,-80.4627-80.46,← 279°,397,735,"3,6583658",518 , FlightAware ADS-B  (KHWO) 
20190803,星期六 20:47:1508:47下午,26.287826.29,-80.5242-80.52,← 279°,397,735,"4,0234023",686 , FlightAware ADS-B  (KLNA) 
20190803,星期六 20:47:3308:47下午,26.297726.30,-80.5621-80.56,← 293°,403,747,"4,2064206",569 , FlightAware ADS-B  (KTMB) 
20190803,星期六 20:48:1208:48下午,26.339626.34,-80.6280-80.63,← 308°,414,766,"4,5644564",543 , FlightAware ADS-B  (KFXE) 
20190803,星期六 20:48:4208:48下午,26.374226.37,-80.6781-80.68,← 307°,415,769,"4,8314831",383 , FlightAware ADS-B  (KPMP) 
20190803,星期六 20:49:0108:49下午,26.397426.40,-80.7115-80.71,← 309°,414,766,"4,8774877",210 , FlightAware ADS-B  (KBCT) 
20190803,星期六 20:49:1908:49下午,26.424526.42,-80.7382-80.74,&nwarr 325°,422,782,"4,9614961",449 , FlightAware ADS-B  (KVRB) 
20190803,星期六 20:49:5508:49下午,26.483526.48,-80.7777-80.78,&nwarr 329°,426,789,"5,2815281",499 , FlightAware ADS-B  (KCOF) 
20190803,星期六 20:50:2508:50下午,26.532126.53,-80.8111-80.81,&nwarr 328°,432,800,"5,5095509",442 , FlightAware ADS-B  (KTPA) 
20190803,星期六 20:50:5508:50下午,26.585126.59,-80.8471-80.85,&nwarr 329°,439,813,"5,7235723",457 , FlightAware ADS-B  (KOPF) 
20190803,星期六 20:51:2508:51下午,26.637926.64,-80.8820-80.88,&nwarr 329°,443,821,"5,9665966",429 , FlightAware ADS-B  (KOPF) 
20190803,星期六 20:51:4408:51下午,26.671126.67,-80.9039-80.90,&nwarr 331°,446,826,"6,0736073",417 , FlightAware ADS-B  (KFMY) 
20190803,星期六 20:52:1008:52下午,26.717426.72,-80.9341-80.93,&nwarr 331°,449,832,"6,2796279",408 , FlightAware ADS-B  (KISM) 
20190803,星期六 20:52:3108:52下午,26.756426.76,-80.9547-80.95,↑ 339°,454,840,"6,3936393",375 , FlightAware ADS-B  (KFMY) 
20190803,星期六 20:52:4908:52下午,26.793026.79,-80.9688-80.97,↑ 343°,454,840,"6,5236523",387 , FlightAware ADS-B  (KMLB) 
20190803,星期六 20:53:3008:53下午,26.877426.88,-80.9942-80.99,↑ 345°,459,850,"6,7746774",363 , FlightAware ADS-B  (KSEF) 
20190803,星期六 20:53:5208:53下午,26.923526.92,-81.0079-81.01,↑ 345°,461,855,"6,9046904",307 , FlightAware ADS-B  (KPGD) 
20190803,星期六 20:54:3108:54下午,27.003727.00,-81.0322-81.03,↑ 345°,467,864,"7,0877087",289 , FlightAware ADS-B  (KMCO) 
20190803,星期六 20:54:4908:54下午,27.042027.04,-81.0437-81.04,↑ 345°,469,869,"7,1787178",290 , FlightAware ADS-B  (KORL) 
20190803,星期六 20:55:1208:55下午,27.087027.09,-81.0571-81.06,↑ 345°,472,874,"7,2857285",261 , FlightAware ADS-B  (KISM) 
20190803,星期六 20:55:3808:55下午,27.147427.15,-81.0753-81.08,↑ 345°,476,882,"7,3917391",343 , FlightAware ADS-B  (KSRQ) 
20190803,星期六 20:56:0808:56下午,27.209027.21,-81.0937-81.09,↑ 345°,473,875,"7,6057605",337 , FlightAware ADS-B  (KOBE) 
20190803,星期六 20:56:3908:56下午,27.274827.27,-81.1134-81.11,↑ 345°,477,884,"7,7347734",262 , FlightAware ADS-B  (KPGD) 
20190803,星期六 20:57:0908:57下午,27.338627.34,-81.1322-81.13,↑ 346°,480,888,"7,8717871",251 , FlightAware ADS-B  (KMCO) 
20190803,星期六 20:57:3908:57下午,27.403927.40,-81.1513-81.15,↑ 345°,485,898,"7,9867986",320 , FlightAware ADS-B  (KPGD) 
20190803,星期六 20:58:0908:58下午,27.469627.47,-81.1708-81.17,↑ 345°,482,893,"8,1928192",310 , FlightAware ADS-B  (KSFB) 
20190803,星期六 20:58:3508:58下午,27.524927.52,-81.1915-81.19,↑ 341°,484,896,"8,2758275",217 , FlightAware ADS-B  (KPIE) 
20190803,星期六 20:59:0608:59下午,27.590527.59,-81.2178-81.22,↑ 341°,488,904,"8,3978397",215 , FlightAware ADS-B  (KCRG) 
20190803,星期六 20:59:2408:59下午,27.629927.63,-81.2333-81.23,↑ 342°,491,909,"8,4518451",253 , FlightAware ADS-B  (KISM) 
20190803,星期六 20:59:4408:59下午,27.666827.67,-81.2479-81.25,↑ 342°,490,908,"8,5578557",324 , FlightAware ADS-B  (KMCF) 
20190803,星期六 21:00:2909:00下午,27.768027.77,-81.2873-81.29,↑ 341°,489,906,"8,8018801",310 , FlightAware ADS-B  (KCOI) 
20190803,星期六 21:00:4609:00下午,27.807127.81,-81.3019-81.30,↑ 342°,491,909,"8,8778877",399 , FlightAware ADS-B  (KSFB) 
20190803,星期六 21:01:1609:01下午,27.870227.87,-81.3257-81.33,↑ 341°,483,895,"9,1149114",373 , FlightAware ADS-B  (KDED) 
20190803,星期六 21:01:4609:01下午,27.931527.93,-81.3491-81.35,↑ 341°,483,895,"9,2519251",369 , FlightAware ADS-B  (KISM) 
20190803,星期六 21:02:1309:02下午,27.991127.99,-81.3723-81.37,↑ 339°,476,882,"9,4649464",400 , FlightAware ADS-B  (KCLW) 
20190803,星期六 21:02:3409:02下午,28.030828.03,-81.3980-81.40,&nwarr 323°,471,872,"9,5719571",374 , FlightAware ADS-B  (KTPA) 
20190803,星期六 21:03:0809:03下午,28.082928.08,-81.4530-81.45,&nwarr 318°,460,851,"9,8079807",436 , FlightAware ADS-B  (KPGD) 
20190803,星期六 21:03:3809:03下午,28.131828.13,-81.5041-81.50,&nwarr 317°,457,847,"10,03610036",381 , FlightAware ADS-B  (KORL) 
20190803,星期六 21:04:0809:04下午,28.176428.18,-81.5506-81.55,&nwarr 317°,456,845,"10,18810188",336 , FlightAware ADS-B  (KORL) 
20190803,星期六 21:04:3109:04下午,28.211628.21,-81.5875-81.59,&nwarr 318°,453,838,"10,33310333",256 , FlightAware ADS-B  (KPGD) 
20190803,星期六 21:04:4909:04下午,28.239528.24,-81.6171-81.62,&nwarr 317°,459,850,"10,36310363",67 , FlightAware ADS-B  (KORL) 
20190803,星期六 21:05:0509:05下午,28.263528.26,-81.6425-81.64,&nwarr 317°,467,864,"10,37110371", , FlightAware ADS-B  (KCOF) 
20190803,星期六 21:05:3509:05下午,28.314228.31,-81.6959-81.70,&nwarr 317°,473,875,"10,36310363",-8 , FlightAware ADS-B  (KPGD) 
20190803,星期六 21:06:0509:06下午,28.360128.36,-81.7444-81.74,&nwarr 317°,474,877,"10,36310363", , FlightAware ADS-B  (KSEF) 
20190803,星期六 21:06:3509:06下午,28.406028.41,-81.7926-81.79,&nwarr 317°,476,882,"10,36310363", , FlightAware ADS-B  (KSFB) 
20190803,星期六 21:07:0509:07下午,28.458328.46,-81.8476-81.85,&nwarr 317°,475,880,"10,36310363",6 , FlightAware ADS-B  (KSRQ) 
20190803,星期六 21:07:4609:07下午,28.523428.52,-81.9167-81.92,&nwarr 317°,476,882,"10,37110371",6 , FlightAware ADS-B  (KPCM) 
20190803,星期六 21:08:1609:08下午,28.571628.57,-81.9677-81.97,&nwarr 317°,475,880,"10,37110371", , FlightAware ADS-B  (KDED) 
20190803,星期六 21:08:3909:08下午,28.609528.61,-82.0079-82.01,&nwarr 318°,474,877,"10,37110371",-8 , FlightAware ADS-B  (KDAB) 
20190803,星期六 21:09:1609:09下午,28.669028.67,-82.0711-82.07,&nwarr 317°,476,882,"10,36310363",-14 , FlightAware ADS-B  (KSFB) 
20190803,星期六 21:09:4609:09下午,28.715928.72,-82.1210-82.12,&nwarr 317°,477,884,"10,35610356", , FlightAware ADS-B  (KTPA) 
20190803,星期六 21:10:1009:10下午,28.755628.76,-82.1634-82.16,&nwarr 318°,477,884,"10,36310363",8 , FlightAware ADS-B  (KDAB) 
20190803,星期六 21:10:4109:10下午,28.802428.80,-82.2132-82.21,&nwarr 317°,478,885,"10,36310363", , FlightAware ADS-B  (KDAB) 
20190803,星期六 21:11:1109:11下午,28.853528.85,-82.2677-82.27,&nwarr 317°,478,885,"10,36310363", , FlightAware ADS-B  (KCOF) 
20190803,星期六 21:11:3609:11下午,28.894028.89,-82.3110-82.31,&nwarr 317°,480,888,"10,36310363", , FlightAware ADS-B  (KABY) 
20190803,星期六 21:11:5609:11下午,28.925828.93,-82.3451-82.35,&nwarr 318°,478,885,"10,36310363", , FlightAware ADS-B  (KISM) 
20190803,星期六 21:12:2609:12下午,28.971528.97,-82.3945-82.39,&nwarr 317°,478,885,"10,36310363", , FlightAware ADS-B  (KGNV) 
20190803,星期六 21:12:5209:12下午,29.008429.01,-82.4343-82.43,&nwarr 318°,478,885,"10,36310363", , FlightAware ADS-B  (KDED) 
20190803,星期六 21:13:2209:13下午,29.063929.06,-82.4935-82.49,&nwarr 317°,472,874,"10,36310363", , FlightAware ADS-B  (KCLW) 
20190803,星期六 21:14:0009:14下午,29.126429.13,-82.5602-82.56,&nwarr 317°,464,859,"10,36310363", , FlightAware ADS-B  (KCLW) 
20190803,星期六 21:14:3009:14下午,29.171929.17,-82.6092-82.61,&nwarr 317°,466,863,"10,36310363", , FlightAware ADS-B  (KLAL) 
20190803,星期六 21:15:0009:15下午,29.219229.22,-82.6603-82.66,&nwarr 317°,479,887,"10,36310363",8 , FlightAware ADS-B  (KSFB) 
20190803,星期六 21:15:3009:15下午,29.267129.27,-82.7115-82.71,&nwarr 317°,481,892,"10,37110371", , FlightAware ADS-B  (KPCM) 
20190803,星期六 21:16:0909:16下午,29.328729.33,-82.7785-82.78,&nwarr 317°,482,893,"10,36310363",-7 , FlightAware ADS-B  (KDED) 
20190803,星期六 21:16:3909:16下午,29.379729.38,-82.8342-82.83,&nwarr 317°,485,898,"10,36310363",8 , FlightAware ADS-B  (KDED) 
20190803,星期六 21:17:0909:17下午,29.427829.43,-82.8863-82.89,&nwarr 317°,487,901,"10,37110371",8 , FlightAware ADS-B  (KPMP) 
20190803,星期六 21:17:3409:17下午,29.471029.47,-82.9290-82.93,&nwarr 322°,491,909,"10,37110371",9 , FlightAware ADS-B  (KISM) 
20190803,星期六 21:17:5809:17下午,29.514429.51,-82.9649-82.96,&nwarr 327°,494,914,"10,37810378",10 , FlightAware ADS-B  (KSGJ) 
20190803,星期六 21:18:1809:18下午,29.553529.55,-82.9926-82.99,&nwarr 330°,496,919,"10,37810378", , FlightAware ADS-B  (KTLH) 
20190803,星期六 21:18:4409:18下午,29.607529.61,-83.0248-83.02,&nwarr 336°,498,922,"10,37810378", , FlightAware ADS-B  (KGNV) 
20190803,星期六 21:19:0409:19下午,29.647529.65,-83.0447-83.04,&nwarr 338°,499,924,"10,37810378",-26 , FlightAware ADS-B  (KPCM) 
20190803,星期六 21:19:3709:19下午,29.722029.72,-83.0804-83.08,&nwarr 337°,498,922,"10,35610356",-22 , FlightAware ADS-B  (KLAL) 
20190803,星期六 21:20:0709:20下午,29.786429.79,-83.1117-83.11,&nwarr 337°,497,921,"10,35610356", , FlightAware ADS-B  (KNIP) 
20190803,星期六 21:20:3709:20下午,29.849829.85,-83.1425-83.14,&nwarr 337°,497,921,"10,35610356", , FlightAware ADS-B  (KVLD) 
20190803,星期六 21:20:5609:20下午,29.886829.89,-83.1600-83.16,↑ 339°,497,921,"10,35610356", , FlightAware ADS-B  (KGNV) 
20190803,星期六 21:21:2609:21下午,29.952129.95,-83.1908-83.19,↑ 339°,497,921,"10,35610356", , FlightAware ADS-B  (KTPA) 
20190803,星期六 21:21:5609:21下午,30.016630.02,-83.2213-83.22,&nwarr 338°,497,921,"10,35610356", , FlightAware ADS-B  (KNIP) 
20190803,星期六 21:22:2909:22下午,30.089330.09,-83.2558-83.26,&nwarr 337°,496,919,"10,35610356", , FlightAware ADS-B  (KOCF) 
20190803,星期六 21:22:5909:22下午,30.150930.15,-83.2857-83.29,&nwarr 337°,496,919,"10,35610356",8 , FlightAware ADS-B  (KBQK) 
20190803,星期六 21:23:2909:23下午,30.214530.21,-83.3169-83.32,&nwarr 337°,497,921,"10,36310363",15 , FlightAware ADS-B  (KBQK) 
20190803,星期六 21:23:5909:23下午,30.275230.28,-83.3464-83.35,&nwarr 337°,496,919,"10,37110371",122 , FlightAware ADS-B  (KMCO) 
20190803,星期六 21:24:2909:24下午,30.338930.34,-83.3772-83.38,&nwarr 337°,498,922,"10,48510485",244 , FlightAware ADS-B  (KTLH) 
20190803,星期六 21:24:5909:24下午,30.406230.41,-83.4097-83.41,&nwarr 337°,499,924,"10,61510615",335 , FlightAware ADS-B  (KVLD) 
20190803,星期六 21:25:2909:25下午,30.470730.47,-83.4408-83.44,&nwarr 337°,494,914,"10,82010820",320 , FlightAware ADS-B  (KMXF) 
20190803,星期六 21:25:5909:25下午,30.529930.53,-83.4695-83.47,&nwarr 337°,494,914,"10,93510935",160 , FlightAware ADS-B  (KTLH) 
20190803,星期六 21:26:2909:26下午,30.596730.60,-83.5020-83.50,&nwarr 337°,491,909,"10,98010980",38 , FlightAware ADS-B  (KLEE) 
20190803,星期六 21:26:5909:26下午,30.659030.66,-83.5325-83.53,&nwarr 337°,492,911,"10,97310973",-8 , FlightAware ADS-B  (KOCF) 
20190803,星期六 21:27:2909:27下午,30.722030.72,-83.5631-83.56,&nwarr 337°,494,914,"10,97310973", , FlightAware ADS-B  (KTLH) 
20190803,星期六 21:27:5909:27下午,30.785530.79,-83.5940-83.59,&nwarr 337°,496,919,"10,97310973", , FlightAware ADS-B  (KTLH) 
20190803,星期六 21:28:2909:28下午,30.846430.85,-83.6238-83.62,&nwarr 337°,497,921,"10,97310973", , FlightAware ADS-B  (KAVL) 
20190803,星期六 21:28:5909:28下午,30.912530.91,-83.6562-83.66,&nwarr 337°,496,919,"10,97310973", , FlightAware ADS-B  (KSVN) 
20190803,星期六 21:29:2909:29下午,30.976730.98,-83.6877-83.69,&nwarr 337°,497,921,"10,97310973", , FlightAware ADS-B  (KSVN) 
20190803,星期六 21:30:0009:30下午,31.040931.04,-83.7191-83.72,&nwarr 337°,498,922,"10,97310973", , FlightAware ADS-B  (KTLH) 
20190803,星期六 21:30:3009:30下午,31.103631.10,-83.7499-83.75,&nwarr 337°,497,921,"10,97310973",8 , FlightAware ADS-B  (KTLH) 
20190803,星期六 21:31:0009:31下午,31.168631.17,-83.7819-83.78,&nwarr 337°,497,921,"10,98010980", , FlightAware ADS-B  (KTLH) 
20190803,星期六 21:31:3109:31下午,31.232531.23,-83.8133-83.81,&nwarr 337°,497,921,"10,97310973",-8 , FlightAware ADS-B  (KTLH) 
20190803,星期六 21:32:0109:32下午,31.296631.30,-83.8449-83.84,&nwarr 337°,496,919,"10,97310973", , FlightAware ADS-B  (KSVN) 
20190803,星期六 21:32:3309:32下午,31.366431.37,-83.8794-83.88,&nwarr 337°,497,921,"10,97310973",-8 , FlightAware ADS-B  (KLEE) 
20190803,星期六 21:32:5909:32下午,31.416831.42,-83.9044-83.90,&nwarr 338°,496,919,"10,96510965", , FlightAware ADS-B  (KCVC) 
20190803,星期六 21:33:2909:33下午,31.481131.48,-83.9356-83.94,&nwarr 338°,498,922,"10,97310973",10 , FlightAware ADS-B  (KCVC) 
20190803,星期六 21:33:4609:33下午,31.520931.52,-83.9516-83.95,↑ 343°,504,933,"10,97310973",10 , FlightAware ADS-B  (KGNV) 
20190803,星期六 21:34:1409:34下午,31.583531.58,-83.9706-83.97,↑ 348°,506,937,"10,98010980",8 , FlightAware ADS-B  (KECP) 
20190803,星期六 21:34:4409:34下午,31.650731.65,-83.9855-83.99,↑ 349°,506,937,"10,98010980", , FlightAware ADS-B  (KBGE) 
20190803,星期六 21:35:1409:35下午,31.722031.72,-84.0014-84.00,↑ 349°,505,935,"10,98010980",-8 , FlightAware ADS-B  (KVPS) 
20190803,星期六 21:35:4509:35下午,31.787031.79,-84.0160-84.02,↑ 350°,505,935,"10,97310973",-8 , FlightAware ADS-B  (KCHA) 
20190803,星期六 21:36:1509:36下午,31.861731.86,-84.0328-84.03,↑ 350°,504,933,"10,97310973", , FlightAware ADS-B  (KCHA) 
20190803,星期六 21:36:4609:36下午,31.932731.93,-84.0486-84.05,↑ 350°,504,933,"10,97310973", , FlightAware ADS-B  (KGNV) 
20190803,星期六 21:37:1609:37下午,32.002332.00,-84.0642-84.06,↑ 349°,504,933,"10,97310973", , FlightAware ADS-B  (KBGE) 
20190803,星期六 21:37:4709:37下午,32.065832.07,-84.0784-84.08,↑ 350°,504,933,"10,97310973", , FlightAware ADS-B  (KGNV) 
20190803,星期六 21:38:1709:38下午,32.140832.14,-84.0952-84.10,↑ 349°,503,932,"10,97310973",8 , FlightAware ADS-B  (KLCQ) 
20190803,星期六 21:38:4709:38下午,32.211832.21,-84.1111-84.11,↑ 349°,502,930,"10,98010980", , FlightAware ADS-B  (KMXF) 
20190803,星期六 21:39:1709:39下午,32.280032.28,-84.1264-84.13,↑ 349°,501,929,"10,97310973",-8 , FlightAware ADS-B  (KMXF) 
20190803,星期六 21:39:4709:39下午,32.348332.35,-84.1419-84.14,↑ 349°,499,924,"10,97310973", , FlightAware ADS-B  (KPDK) 
